Problem,Feedback,n,Block,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,bRate,bRate_std
1,True,15,2,26,0.95,-1,23,0.05,21,0,1,False,0,0.6266666666666667,0.3844600418893019
2,True,15,4,14,0.6,-18,8,0.25,-5,0,1,True,-1,0.4933333333333334,0.4131182235954578
3,True,17,4,2,0.5,0,1,1.0,1,0,1,False,0,0.611764705882353,0.4328428596805896
4,True,18,3,37,0.05,8,87,0.25,-31,1,2,False,0,0.2222222222222222,0.3873827041533013
5,False,15,1,26,1.0,26,45,0.75,-36,2,5,False,0,0.5866666666666667,0.45018514709691015
6,True,15,4,28,1.0,28,33,0.01,28,2,3,True,0,0.8,0.3545621041711673
7,False,15,1,-6,1.0,-6,24,0.2,-5,1,2,False,0,0.8666666666666667,0.3518657752744984
7,True,16,3,-6,1.0,-6,24,0.2,-5,1,2,False,0,0.9625,0.15000000000000002
8,False,15,1,27,1.0,27,89,0.5,-24,0,1,False,0,0.4533333333333333,0.4033195589934446
8,True,16,2,27,1.0,27,89,0.5,-24,0,1,False,0,0.6125,0.4349329450233295
9,True,18,3,94,0.25,-38,-8,0.05,-9,3,3,False,0,0.16666666666666666,0.29305691075485063
10,False,15,1,1,1.0,1,59,0.05,0,0,1,True,0,0.7733333333333333,0.4061433010064071
10,True,15,4,1,1.0,1,59,0.05,0,0,1,True,0,0.8533333333333334,0.27740292167239505
11,True,15,4,-4,1.0,-4,38,0.1,-5,1,6,False,0,0.6533333333333332,0.3888934240098375
12,True,17,3,-3,1.0,-3,-2,0.99,-13,2,7,True,0,0.6352941176470589,0.4076474832354976
13,True,15,2,9,1.0,9,48,0.05,7,0,1,False,0,0.7866666666666667,0.32484428504101703
14,True,15,2,14,0.5,12,42,0.1,14,3,4,False,0,0.8133333333333332,0.30674947122242624
15,True,19,4,42,0.5,-34,8,0.2,7,0,1,False,0,0.5368421052631579,0.4271488503447916
16,True,17,4,35,0.4,-13,33,0.6,-43,1,6,False,0,0.6823529411764706,0.4585783658733356
17,False,16,1,-5,1.0,-5,23,0.01,-13,1,6,False,0,0.325,0.3991657967979388
18,True,15,3,2,1.0,2,48,0.4,-8,0,1,True,0,0.5866666666666667,0.4172472146045293
19,True,15,3,6,1.0,6,17,0.01,3,0,1,False,0,0.36000000000000004,0.4222389303293981
20,False,16,1,0,1.0,0,63,0.25,-27,0,1,False,0,0.575,0.443471156521669
21,False,16,1,-9,1.0,-9,36,0.01,-2,2,4,True,0,0.9375,0.1408308678285174
22,True,15,5,24,1.0,24,72,0.4,-12,0,1,False,0,0.3733333333333333,0.3990464825532174
23,True,18,5,15,1.0,15,39,0.6,-25,0,1,False,0,0.5333333333333333,0.4172740670816047
24,True,15,2,-7,1.0,-7,67,0.25,-26,2,3,True,0,0.6000000000000001,0.4
25,False,16,1,21,1.0,21,99,0.4,-30,1,4,True,0,0.3875000000000001,0.3827531841800928
25,True,16,5,21,1.0,21,99,0.4,-30,1,4,True,0,0.6,0.3723797345005051
26,True,15,5,8,1.0,8,54,0.05,5,0,1,False,0,0.6933333333333334,0.3614784456460256
27,False,16,1,-3,0.2,-12,-5,0.6,-18,1,4,False,0,0.4749999999999999,0.3714835124201342
28,True,17,2,12,1.0,12,32,0.5,-28,1,4,False,0,0.4117647058823529,0.4662112623869897
29,False,16,1,30,0.5,12,34,0.05,27,0,1,False,0,0.825,0.26204325342711393
29,True,16,3,30,0.5,12,34,0.05,27,0,1,False,0,0.7749999999999999,0.3991657967979387
30,False,16,1,6,0.5,-2,18,0.75,-35,2,5,False,0,0.775,0.2720294101747089
30,True,15,4,6,0.5,-2,18,0.75,-35,2,5,False,0,0.8266666666666667,0.3534860406754147
31,False,16,1,-8,0.9,-27,64,0.25,-40,1,4,False,1,0.5375,0.448516071804196
31,True,16,2,-8,0.9,-27,64,0.25,-40,1,4,False,1,0.775,0.3924283374069717
32,True,15,5,22,1.0,22,32,0.5,13,0,1,False,0,0.4933333333333334,0.4131182235954578
33,True,15,2,1,1.0,1,72,0.2,-12,0,1,False,0,0.4933333333333334,0.4131182235954578
34,True,15,2,18,1.0,18,29,0.75,-16,3,2,True,0,0.48,0.4828486896977739
35,True,15,4,27,0.25,15,88,0.4,-20,1,6,False,0,0.52,0.4329302154257328
36,False,16,1,7,0.1,4,1,0.6,1,1,4,False,0,0.1,0.2422120283277993
36,True,16,4,7,0.1,4,1,0.6,1,1,4,False,0,0.1375,0.2895398648430529
37,False,16,1,27,1.0,27,24,0.5,11,1,2,False,0,0.2,0.2921186973360886
37,True,15,2,27,1.0,27,24,0.5,11,1,2,False,0,0.04,0.15491933384829668
38,False,32,1,33,0.5,-15,17,0.6,4,2,4,False,0,0.54375,0.4196292526474047
38,True,16,5,33,0.5,-15,17,0.6,4,2,4,False,0,0.675,0.42504901678120216
39,True,18,2,-1,1.0,-1,23,0.2,-5,0,1,False,0,0.5444444444444445,0.4889631553811201
40,True,17,3,-9,1.0,-9,-4,0.5,-20,1,2,False,0,0.2941176470588236,0.3543843045256345
41,True,15,5,-8,1.0,-8,24,0.05,-6,0,1,False,0,0.8666666666666667,0.3518657752744984
42,False,16,1,14,0.5,-34,22,0.1,-20,0,1,False,0,0.4125,0.3304037933599835
42,True,16,5,14,0.5,-34,22,0.1,-20,0,1,False,0,0.275,0.3568379650952703
43,False,16,1,-8,0.2,-8,1,0.8,-43,0,1,False,0,0.3625,0.3947573094109004
44,True,15,4,13,1.0,13,23,0.5,15,1,6,False,0,0.96,0.11212238211627762
45,True,17,4,2,1.0,2,59,0.2,-18,3,6,False,0,0.5882352941176471,0.4270280332442714
46,True,15,2,-5,0.99,-13,7,0.75,-44,1,4,False,-1,0.8,0.3703280399090206
47,False,16,1,29,0.5,-31,39,0.2,-14,0,1,False,0,0.30000000000000004,0.3502380143083653
47,True,15,3,29,0.5,-31,39,0.2,-14,0,1,False,0,0.2533333333333333,0.27740292167239505
48,True,19,2,-10,1.0,-10,6,0.25,-28,1,6,False,0,0.6736842105263158,0.3070325810853845
49,False,16,1,42,0.25,26,97,0.2,13,0,1,False,0,0.3875,0.4224926034855522
49,True,15,3,42,0.25,26,97,0.2,13,0,1,False,0,0.4800000000000001,0.37644957924572797
50,False,16,1,18,0.99,-4,94,0.5,-47,0,1,False,0,0.4625,0.4660114447807764
51,True,15,2,-9,1.0,-9,53,0.01,-16,2,2,False,0,0.4666666666666667,0.4186144947778269
52,True,15,2,31,0.05,10,17,0.9,17,1,2,False,0,0.8533333333333334,0.2559761893688737
53,True,19,4,-5,1.0,-5,-5,1.0,-5,2,4,False,0,0.5894736842105263,0.39706525749988536
54,True,16,5,-2,1.0,-2,-4,0.9,-35,0,1,False,0,0.17500000000000002,0.2516611478423583
55,False,16,1,-9,1.0,-9,15,0.5,-27,1,2,False,0,0.6499999999999999,0.322490309931942
56,True,18,3,35,0.6,-17,19,0.05,12,1,2,False,0,0.5888888888888889,0.4199284097093763
57,False,16,1,7,0.6,-18,60,0.1,-3,0,1,False,1,0.7499999999999998,0.28751811537130434
57,True,16,4,7,0.6,-18,60,0.1,-3,0,1,False,1,0.4875,0.38622100754188216
58,False,32,1,5,1.0,5,20,0.4,0,0,1,False,0,0.55,0.3663243759117004
58,True,15,4,5,1.0,5,20,0.4,0,0,1,False,0,0.4666666666666666,0.4186144947778269
59,True,16,5,27,0.4,-6,52,0.25,-7,1,2,False,0,0.35,0.31411250638372656
60,True,17,2,18,1.0,18,88,0.25,-10,0,1,False,0,0.34117647058823536,0.3658189844879087
61,False,16,1,15,1.0,15,14,0.75,1,0,1,True,0,0.3125,0.2825479310370779
61,True,15,4,15,1.0,15,14,0.75,1,0,1,True,0,0.12,0.2908116719999879
62,True,17,4,11,0.4,8,27,0.5,5,0,1,False,0,0.7058823529411766,0.3749509771878421
63,False,16,1,1,1.0,1,25,0.2,8,3,3,True,0,0.775,0.2720294101747089
64,True,16,5,14,1.0,14,83,0.4,-25,1,4,True,0,0.6124999999999999,0.3052321520853704
65,False,16,1,9,0.8,1,20,0.1,0,0,1,False,0,0.2250000000000001,0.2516611478423583
65,True,15,3,9,0.8,1,20,0.1,0,0,1,False,0,0.14666666666666667,0.2559761893688738
66,True,16,2,26,1.0,26,25,0.99,20,0,1,True,0,0.3,0.3723797345005051
67,False,16,1,50,0.01,15,25,0.6,-2,1,2,False,1,0.3250000000000001,0.3855731664245668
67,True,15,4,50,0.01,15,25,0.6,-2,1,2,False,1,0.37333333333333335,0.4131182235954578
68,True,18,5,56,0.1,5,44,0.25,1,0,1,False,-1,0.5444444444444445,0.4217920064818988
69,False,16,1,44,0.5,0,22,1.0,22,0,1,False,0,0.7,0.3723797345005049
69,True,15,4,44,0.5,0,22,1.0,22,0,1,False,0,0.5466666666666666,0.3502380143083653
70,True,16,3,11,1.0,11,9,0.95,7,1,8,False,0,0.2125,0.2777888886666756
71,True,16,3,18,1.0,18,24,0.8,-16,0,1,False,0,0.2875,0.3344149119482164
72,True,16,4,24,1.0,24,49,0.5,-5,0,1,False,0,0.45,0.3687817782917155
73,True,18,2,6,0.01,5,86,0.2,0,0,1,True,0,0.6333333333333333,0.37100816544050536
74,True,16,4,31,0.05,-5,97,0.2,-32,0,1,True,0,0.45,0.3540244812627134
75,True,18,2,17,1.0,17,42,0.2,4,1,6,False,0,0.4222222222222223,0.41096093353126506
76,False,16,1,10,0.6,7,30,0.5,-3,1,4,True,0,0.65,0.3614784456460256
76,True,15,5,10,0.6,7,30,0.5,-3,1,4,True,0,0.7466666666666666,0.31592645316516915
77,True,17,5,11,0.4,-6,41,0.6,-50,0,1,False,1,0.6941176470588235,0.3749509771878421
78,True,16,4,55,0.25,-1,116,0.25,-23,1,8,False,1,0.5625,0.3947573094109004
79,False,16,1,13,1.0,13,12,0.99,-31,0,1,True,0,0.1875,0.2680174123696693
79,True,16,5,13,1.0,13,12,0.99,-31,0,1,True,0,0.125,0.2816617356570348
80,True,16,5,11,1.0,11,53,0.05,4,0,1,False,0,0.4,0.39327683210007
81,True,17,3,6,1.0,6,22,0.75,-16,0,1,False,0,0.6,0.4242640687119285
82,True,16,4,23,0.95,3,25,0.4,14,0,1,False,0,0.1125,0.2825479310370779
